Symbol	Name	LastSale	MarketCap	IPOyear	Sector	industry	Summary Quote
TESO	Tesco Corporation	9.45	$438.52M	n/a	Energy	Metal Fabrications	http://www.nasdaq.com/symbol/teso
TSLA	"Tesla Motors, Inc."	237.75	$38.3B	2010	Capital Goods	Auto Manufacturing	http://www.nasdaq.com/symbol/tsla
TESS	TESSCO Technologies Incorporated	13.75	$114.57M	1994	Consumer Non-Durables	Electronic Components	http://www.nasdaq.com/symbol/tess
TSRA	Tessera Holding Corporation 	44.05	$2.14B	2003	Technology	Semiconductors	http://www.nasdaq.com/symbol/tsra
TTEK	"Tetra Tech, Inc."	42.6	$2.43B	1991	Consumer Services	Military/Government/Technical	http://www.nasdaq.com/symbol/ttek
TTPH	"Tetraphase Pharmaceuticals, Inc."	4.47	$164.96M	2013	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/ttph
TCBI	"Texas Capital Bancshares, Inc."	79.75	$3.67B	2003	Finance	Major Banks	http://www.nasdaq.com/symbol/tcbi
TCBIL	"Texas Capital Bancshares, Inc."	25.3294	n/a	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/tcbil
TCBIP	"Texas Capital Bancshares, Inc."	25.22	$151.32M	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/tcbip
TCBIW	"Texas Capital Bancshares, Inc."	64.0304	n/a	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/tcbiw
TXN	Texas Instruments Incorporated	75	$74.96B	n/a	Technology	Semiconductors	http://www.nasdaq.com/symbol/txn
TXRH	"Texas Roadhouse, Inc."	46.96	$3.31B	2004	Consumer Services	Restaurants	http://www.nasdaq.com/symbol/txrh
TFSL	TFS Financial Corporation	18.88	$5.35B	n/a	Finance	Savings Institutions	http://www.nasdaq.com/symbol/tfsl
TGTX	"TG Therapeutics, Inc."	4.95	$270.92M	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/tgtx
ABCO	The Advisory Board Company	41.75	$1.68B	2001	Consumer Services	Other Consumer Services	http://www.nasdaq.com/symbol/abco
ANDE	"The Andersons, Inc."	38.5	$1.09B	n/a	Consumer Services	Farming/Seeds/Milling	http://www.nasdaq.com/symbol/ande
TBBK	"The Bancorp, Inc."	7.26	$401.62M	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/tbbk
